date,gross,net,n_long,n_short,regime
2022-08-15,0.007366990921364572,0.005766990921364572,6,6,low
2022-08-16,-0.019573435700020583,-0.021173435700020584,6,6,low
2022-08-17,-0.01545732281130606,-0.01705732281130606,6,6,low
2022-08-18,-0.032243688585342996,-0.03384368858534299,6,6,low
2022-08-19,0.00954125503914392,0.007941255039143919,6,6,low
2022-08-20,0.00478158281710479,0.0031815828171047897,6,6,low
2022-08-21,0.013411939870426472,0.011811939870426471,6,6,low
2022-08-22,0.005747845232484184,0.0041478452324841845,6,6,low
2022-08-23,0.021255452584604283,0.019655452584604282,6,6,low
2022-08-24,0.009927455495539361,0.00832745549553936,6,6,low
2022-08-25,0.018511411876669125,0.016911411876669124,6,6,low
2022-08-26,-0.012654133209842634,-0.014254133209842635,6,6,low
2022-08-27,0.00392020439187598,0.0023202043918759798,6,6,low
2022-08-28,0.004525027047644108,0.0029250270476441085,6,6,low
2022-08-29,0.02039712382277133,0.01879712382277133,6,6,low
2022-08-30,0.017197966155160515,0.015597966155160514,6,6,low
2022-08-31,0.005207182849831222,0.0036071828498312223,6,6,low
2022-09-01,0.007960013250396593,0.006360013250396593,6,6,low
2022-09-02,-0.01630616380741712,-0.017906163807417122,6,6,low
2022-09-03,-0.024109171402677085,-0.025709171402677086,6,6,low
2022-09-04,-0.032782441367861695,-0.03438244136786169,6,6,low
2022-09-05,-0.0021690018267208648,-0.0037690018267208646,6,6,low
2022-09-06,0.016559985560967348,0.014959985560967348,6,6,low
2022-09-07,0.00230395172017981,0.0007039517201798101,6,6,low
2022-09-08,0.0006387038522117222,-0.0009612961477882779,6,6,low
2022-09-09,-0.012618544209026382,-0.014218544209026383,6,6,low
2022-09-10,-0.012843851277104669,-0.01444385127710467,6,6,low
2022-09-11,-0.006828882724566485,-0.008428882724566485,6,6,low
2022-09-12,-0.0043085060860669905,-0.00590850608606699,6,6,low
2022-09-13,0.021820447931349598,0.020220447931349597,6,6,low
2022-09-14,-0.030790139284989096,-0.03239013928498909,6,6,high
2022-09-15,0.007945530625771392,0.0063455306257713924,6,6,high
2022-09-16,-0.008344780716798703,-0.009944780716798704,6,6,high
2022-09-17,-0.02596682436811744,-0.02756682436811744,6,6,high
2022-09-18,-0.022700807685142706,-0.024300807685142707,6,6,high
2022-09-19,0.021582392158276037,0.019982392158276036,6,6,low
2022-09-20,0.024104932466059686,0.022504932466059686,6,6,low
2022-09-21,0.019202154968136504,0.017602154968136503,6,6,low
2022-09-22,0.006226755387633729,0.0046267553876337296,6,6,low
2022-09-23,0.02591587326699029,0.02431587326699029,6,6,high
2022-09-24,0.020758656621895057,0.019158656621895056,6,6,high
2022-09-25,0.018386069805834737,0.016786069805834736,6,6,high
2022-09-26,0.010294242231219407,0.008694242231219406,6,6,low
2022-09-27,-0.0003149375101853787,-0.0019149375101853788,6,6,low
2022-09-28,-0.016443203373828628,-0.01804320337382863,6,6,low
2022-09-29,-0.022097206022773624,-0.023697206022773625,6,6,low
2022-09-30,0.00017972808875931444,-0.0014202719112406856,6,6,low
2022-10-01,0.015193359555737234,0.013593359555737233,6,6,low
2022-10-02,0.005923498902880117,0.004323498902880117,6,6,low
2022-10-03,0.003447682173833082,0.001847682173833082,6,6,low
2022-10-04,0.0074064103061056465,0.005806410306105647,6,6,low
2022-10-05,0.0067622588900568565,0.005162258890056857,6,6,low
2022-10-06,0.00936227872445514,0.00776227872445514,6,6,low
2022-10-07,0.010624437216461937,0.009024437216461937,6,6,low
2022-10-08,-0.002029861633179815,-0.003629861633179815,6,6,low
2022-10-09,-0.0048640035142877985,-0.006464003514287798,6,6,low
2022-10-10,-0.020602840964376364,-0.022202840964376365,6,6,low
2022-10-11,0.006690315208018253,0.0050903152080182534,6,6,low
2022-10-12,0.008028448333696687,0.006428448333696687,6,6,low
2022-10-13,0.0007151183817851957,-0.0008848816182148043,6,6,low
2022-10-14,-0.013146854019196574,-0.014746854019196575,6,6,low
2022-10-15,-0.004698490408737897,-0.006298490408737897,6,6,low
2022-10-16,0.01682816048587464,0.01522816048587464,6,6,low
2022-10-17,0.02372740031286105,0.022127400312861048,6,6,low
2022-10-18,0.005019000924787969,0.0034190009247879695,6,6,low
2022-10-19,-0.010222641123026843,-0.011822641123026844,6,6,low
2022-10-20,-0.010203082824766788,-0.011803082824766789,6,6,low
2022-10-21,0.0045597859937557975,0.0029597859937557976,6,6,low
2022-10-22,0.002930833605233576,0.0013308336052335757,6,6,low
2022-10-23,0.012775044549141117,0.011175044549141117,6,6,low
2022-10-24,0.012375898890916375,0.010775898890916374,6,6,low
2022-10-25,0.01571316023570021,0.014113160235700209,6,6,low
2022-10-26,0.03357352509686276,0.031973525096862764,6,6,low
2022-10-27,0.03809868677535427,0.03649868677535427,6,6,low
2022-10-28,0.021479074704847292,0.01987907470484729,6,6,low
2022-10-29,0.015245317912001422,0.013645317912001421,6,6,low
2022-10-30,0.0029486879289515487,0.0013486879289515486,6,6,low
2022-10-31,-0.018392856114673083,-0.019992856114673083,6,6,low
2022-11-01,-0.043272324606963536,-0.04487232460696353,6,6,low
2022-11-02,-0.019904431174041518,-0.021504431174041518,6,6,low
2022-11-03,-0.00907319592373514,-0.01067319592373514,6,6,low
2022-11-04,0.0042108413033886405,0.0026108413033886406,6,6,low
2022-11-05,0.003908574435335016,0.002308574435335016,6,6,low
2022-11-06,-0.017383026506159832,-0.018983026506159833,6,6,low
2022-11-07,0.017804081616733303,0.016204081616733302,6,6,low
2022-11-08,0.031634118920941826,0.030034118920941825,6,6,low
2022-11-09,-0.025539243943223454,-0.027139243943223455,6,6,low
2022-11-10,0.002813593339243553,0.001213593339243553,6,6,high
2022-11-11,0.028590211592666608,0.026990211592666607,6,6,high
2022-11-12,0.02127561991946019,0.01967561991946019,6,6,high
